ID,meta.userAgent,meta.platform,meta.language,meta.locale,meta.timeZone,meta.timezoneOffset,meta.screen_width,meta.screen_height,meta.scroll_width,meta.scroll_height,meta.window_innerWidth,meta.window_innerHeight,meta.devicePixelRatio,PROLIFIC_PID,framingCondition,sociodemo_gender,sociodemo_priorExperience,sociodemo_residency,sociodemo_education,feedback_critic,attCheck_text,sociodemo_universityAffiliation,sociodemo_universityField,reflection_ecological,reflection_social,reflection_economic,EcologicalDimension-1,EcologicalDimension-3,EcologicalDimension-4,EcologicalDimension-2,Bioinspiration-VRtN1,Bioinspiration-PN4,Bioinspiration-VRtN4r,Bioinspiration-IPI1,Bioinspiration-PN2r,Bioinspiration-VRtN2,Bioinspiration-IPI2r,Bioinspiration-PN3,Bioinspiration-IPI3,Bioinspiration-IPI4,Bioinspiration-VRtN3,Bioinspiration-PN1,evalInf-6,evalInf-5,evalInf-8,evalInf-2,evalInf-3,evalInf-4,evalInf-10,evalInf-7,evalInf-1,evalInf-9,GAToRS-4pp,GAToRS-3sp,GAToRS-4pn,GAToRS-5pp,GAToRS-1pp,GAToRS-3pp,GAToRS-4sp,GAToRS-2pn,GAToRS-2sp,GAToRS-1sn,GAToRS-3pn,GAToRS-5pn,GAToRS-1pn,GAToRS-4sn,GAToRS-5sn,GAToRS-5sp,GAToRS-2pp,GAToRS-1sp,GAToRS-3sn,GAToRS-2sn,dummy_informedconsent,commCheck,feedback_conscientiousCompletion,sociodemo_age,whichItemsFirst,socio_age,socio_sex,socio_ethnicity,socio_student,socio_employment,total_min_prolific
58,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",MacIntel,en-US,en-GB,Europe/London,0,1440,900,1424,499,1424,667,2,6713a6a34b872f10e42e1502,bio-inspired,male,no,GB,masters,None that weren't covered by the questions,I read the instructions,no,,"Even though its principles are derived from nature it is still a constructed artefact that doesn't need to be in the world. That said, its reliance on air pressure rather than conventional power is a bonus and means it isn't draining energy resources. The fact that it can be home printed cuts down on transport costs, although people would still need the necessary tech.","In terms of inclusivity, the fact that it is made of soft materials makes it more accessible to people with sensory issues. I am struggling to see how it helps foster peace, in fact I could see how it might have many harmful military applications, able to get to places and cause damage that human forces couldn't reach.  ","I have no idea what it costs so it is very difficult to discuss its economic benefits. Its durability may mean that it lasts longer than other, similar products. However, there is a risk that it would replace human jobs, which would not be good for decent employment. ",4,4,4,4,1,5,6,7,6,1,7,1,7,7,7,2,4,4,4,5,4,5,2,4,2,3,1,5,5,2,1,1,4,5,5,7,6,4,6,7,7,5,1,5,7,7,1,1,1,54,bioinspired,54,Male,White,No,Full-Time,27.7
59,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Europe/London,0,1920,1080,967,499,967,903,1,58cd0bc2a47dbb000171dc8b,bio-inspired,male,no,GB,level_2,,I read the instructions,no,,"I disagree, both of my statements explain why. Too much emphasis is given to sustainability.","I don't see anything to indicate its sustainability. It is made up of what look like plastic components and as such are manufactured in non-sustainable methods. I don't see any indication that it meets the above paragraph, it is, after all, a robot and I don't understand how one would relate it to the above.","I fail  to see anything in the making of this robot that compares to the above statement. It is a robot, made of plastic, which uses compressed air. The air is probably compressed using energy sources and is similar to if one would charge a battery.",4,4,4,4,1,2,2,5,2,3,5,2,5,5,3,2,2,5,4,4,4,4,3,2,3,2,5,6,1,1,6,4,6,1,7,3,1,3,1,5,1,7,6,6,2,3,1,1,1,62,sustainable,62,Male,White,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",26.5
60,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-GB,en-US,Europe/London,0,1920,1080,1920,499,1920,919,1,6229dc51dff340226697778e,tech-inspired,male,no,GB,level_4_5,nothing to add,I read the instructions,no,,"it doesn't require a large amount of resources to operate, can me expanded without the need to remanufacture.",It runs on air. It potentially could be created in the home environment. It is made of plastic however which I assume is non recyclable. ,it's a lot cheaper to produce than its traditional electronic counterpart and does not need a traditionally power source other than in its own manufacture. ,3,5,5,6,4,1,4,5,7,4,5,2,5,6,4,2,5,4,3,5,5,4,5,4,5,5,6,6,1,4,3,4,6,5,5,5,4,4,2,4,4,4,3,6,2,6,1,1,1,61,bioinspired,61,Male,White,DATA_EXPIRED,DATA_EXPIRED,28.1
61,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",MacIntel,en-GB,en-GB,Europe/London,0,1470,956,1470,499,1470,801,2,66914783ed9646ac1537525a,tech-inspired,male,no,GB,level_2,,I read the instructions,no,,As the soft robot is free of electronics it doesnt need to use metals which can be wasteful and harmful to exosystems. It is lightweight and as its soft might require less materials. ,"The soft robot promotes safety, accessibility and inclusion as it's made from soft materials and contains no electronics. So it would be safer for humans to work alongside it reducing the risk of injury in the workplace and also help protect humans in more harsher / dangerous environments. ",As the soft robot is 3D printed and made from soft materials it could be produced using fewer resources and at a lower cost than traditional robots. Also its ability to work in harsher environment with electronics may reduce replacement expenses making it more economically efficient over a longer life span.,7,7,7,7,1,2,2,6,6,2,5,2,4,5,2,4,4,5,5,6,4,5,6,5,5,5,5,7,1,2,6,5,7,1,7,1,1,1,1,4,2,6,4,6,2,1,1,1,1,28,bioinspired,28,Male,White,No,Full-Time,27.966666666666665
62,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Win32,en-GB,en-US,Europe/London,0,1920,1080,1920,499,1920,919,1,5ca5fb084f3e9d0015440d1d,tech-inspired,female,no,GB,bachelors,,I read the instructions,no,,"It could reduce dependency on and depletion of metals and other finite resources used in electronic based products. Their longer lasting nature could reduce production emissions,",Since they are made from relatively low cost materials their adoption and application could be widespread and accessible to a majority of society for good.,"It could provide new employment in its development, production and use and help to solve problems tat are currently difficult.  ",6,7,4,7,2,3,5,6,6,3,5,3,6,5,6,4,6,5,6,6,5,6,5,6,5,5,4,6,3,5,5,5,6,4,7,3,3,2,2,5,4,5,6,7,3,4,1,1,1,47,bioinspired,47,Female,White,No,Part-Time,37.733333333333334
63,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Europe/London,0,1366,768,1366,499,1366,633,1,62a746cdc24be0dc08d934ab,tech-inspired,female,no,GB,masters,,I read the instructions,yes,Material Science,the SRW's design directly contributes to the ecological aspect of sustainability by encompassing the reusability of parts that are ordinarily found in nature which not only limits environmental degradation but also promote preservation through informed recycling ,"the SRW's design contributes to social aspect of sustainability as I believe because of how it'll largely be less expensive to make than conventional metallic robots, it will be more readily available for many use cases and this will inadvertently promote the well-being and development of everyone regardless of any man-made social barriers. ",the SRW contributes to economic growth through an innovative design of using a biomimetic approach to produce something very resourceful and significant.,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,5,5,5,5,5,4,4,5,3,5,5,6,2,2,6,5,6,2,6,6,2,5,2,6,6,6,4,6,2,5,1,1,1,30,bioinspired,30,Female,Black,Yes,Part-Time,24.783333333333335
64,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",Win32,en-US,en-US,Europe/London,0,1920,1080,1912,499,1912,932,1,56d84c584a9be1000a535f9c,bio-inspired,male,no,GB,bachelors,,I read the instructions,no,,Low energy use and durable components minimise impact on ecology. Other applications of SRW may be direct use in monitoring ecological change and human impact on natural habitats,Difficult to answer either positively or negatively on this aspect.  ,Soft Robot Walker (SRW) uses components that appear to be durable but also recyclable and easily repaired. Its low energy use isolated from an electricity supply is a bonus. Economic resilience for me is dependent on what environments and applications will prove beneficial through use of SRW and I am less sure where these are but assuming many then it will provide economic benefit through replacement of expensive labour and accurate reliable execution of tasks.,6,6,5,6,6,6,6,7,6,5,7,5,7,7,6,5,5,4,5,6,5,4,5,5,5,5,3,6,5,4,5,3,6,5,5,6,5,2,4,6,4,5,6,6,5,3,1,1,1,69,bioinspired,69,Male,White,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",34.06666666666667
65,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Europe/London,0,1536,864,1536,499,1536,695,1.25,57a6533382f7f90001eea86c,tech-inspired,female,not_sure,GB,level_3,At least one of the questions read as if it had been written by AI,I read the instructions,no,,"The soft materials should mean less chance of robot causing damage to it's surroundings. Not needing electricity helps preserve resources. Easy manufacture means less environmmental impact , less machinery required","Thd Robot could help maintain independence , not just by helping people work but by assisting with some self care tasks , due to it's flexibility and soft materials","The robot can be made with a domestic 3d printer , which I believe uses recycled plastic. It does not require electricity to run. it couldhelp people with disbilities stay in employment by carrying out certain physical tasks",6,6,5,6,4,3,5,6,5,5,6,3,7,6,6,5,5,4,5,6,6,6,6,5,5,4,2,5,4,3,5,4,7,6,6,6,6,4,5,7,7,5,5,7,5,7,1,1,1,64,bioinspired,64,Female,White,DATA_EXPIRED,DATA_EXPIRED,29.583333333333332
67,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Europe/London,0,1920,1080,958,499,958,944,1,60b542b8fbb1a6a2678f5054,bio-inspired,male,no,GB,bachelors,,I read the instructions,no,,It is better for the environment as it can be used in so many different scenarios that it could end the need for multiple machines. It is built from long-lasting materials which make it more environmentally friendly and it doesn't rely on electricity which is better for the planet. ,"The robot can be used in dangerous situations, which protects humans and animals from being used. The development of the robot is important for learning and education of others who may draw upon this to create inventions in future. It brings creative individuals together to come up with the ideas for the robot and in testing it.","It can be used in a variety of settings, it doesn't require electricity to operate it which saves money and makes it usable in more locations. It is more durable than a standard hard robot and should therefore last a greater length of time. It's ability to walk on sand and different surfaces, again makes it usable in more locations. It can lift objects which gives one robot a variety of uses and means that it should be a useful invention for selling purposes and should allow buyers to rely on this one machine to do a lot, rather than buying multiple machines. The making of the machine would require employment of a team to deal with this and innovation can be used to make other changes to the robot in time, allowing for further improvements.",7,7,7,7,7,7,7,7,2,7,1,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,4,5,3,1,4,4,6,4,5,5,4,4,3,5,4,4,4,5,3,5,1,1,1,40,sustainable,40,Male,White,No,Full-Time,44.65
69,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:140.0) Gecko/20100101 Firefox/140.0,MacIntel,en-US,en,Europe/London,0,1512,982,1296,498,1296,759,2,60f68b570ae2316894fb0a51,bio-inspired,female,no,GB,bachelors,,I read the instructions,no,,It is more durable and easy to make so it is more sustainable. It doesn't rely on expensive materials and electronic circuits. ,It will be more available to more people because it is cheaper and more durable,It is not so susceptible to wear and tear and so will last longer,5,5,6,6,5,6,6,7,3,6,6,4,5,7,6,5,6,5,5,6,6,6,6,6,6,5,4,7,2,2,6,6,6,2,7,2,1,2,1,4,2,6,6,6,2,1,1,1,1,65,sustainable,65,Female,White,DATA_EXPIRED,DATA_EXPIRED,18.716666666666665
71,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Europe/London,0,1280,720,1280,499,1280,551,1.5,57a7326516a091000112edb2,tech-inspired,female,no,GB,level_3,,I read the instructions,no,,"The Soft Robot walker uses air pressure to produce and control movement rather than electronic components and and is economic on energy, thus less environmentally damaging to produce. It can be 3D printed which removes the need for environmentally damaging heavy machinery and equipment to produce it, a big plus from an environmental point of view.",The Robot is less potentially harmful to humans whilst in use which is an important factor.  ,"The Soft Robot walker uses air pressure to produce and control movement rather than electronic components and and is economic on energy, thus more economically sustainable to produce. It can be 3D printed which removes the need for expensive heavy machinery and equipment to produce it, a big plus.",6,6,6,6,5,4,5,5,4,6,4,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,4,5,3,4,4,4,6,4,5,4,3,4,3,6,5,5,4,5,4,4,1,1,1,69,sustainable,69,Female,White,No,Part-Time,40.63333333333333
72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-US,en-US,Europe/London,0,1280,720,639,499,639,593,1.5,6658c56f3d9230d99c3e6752,tech-inspired,male,yes_some,GB,masters,,I read the instructions,no,,It'll be useful for sustainability in that it be used to promote working in coral reefs and gathering plastic in the ocean without polluting it further,"It can be useful for defusing bombs which can contribute to more peaceful uses, and almost, it's easier access make it suitable for even lower income countries to use",It's lower barrier and safety measures makes it easier to use for even lower income countries and it can promote innovations more broadly,4,6,4,6,5,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,6,2,4,2,4,6,2,6,6,2,2,2,6,6,6,4,6,2,3,1,1,1,36,bioinspired,37,Male,Black,DATA_EXPIRED,DATA_EXPIRED,24.666666666666668
73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",MacIntel,en-GB,en-GB,Europe/London,0,2560,1440,1920,499,1920,968,1,68109d22b0ba84c17333ecab,bio-inspired,male,no,GB,bachelors,,I read the instructions,no,,The more sustainable design would have less of a negative impact on the environment,The more sustainable design would have less impact on people living in areas where components or resources are gathered.,It may be cheaper to make and may use less resources than a typical robot.,7,7,7,7,5,5,2,7,5,6,7,2,7,7,6,2,6,6,6,6,6,6,5,6,5,4,6,6,2,2,5,5,7,1,6,6,1,5,3,6,6,6,6,6,5,6,1,1,1,52,bioinspired,52,Male,Mixed,No,Full-Time,20.216666666666665
74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Win32,en-GB,en-US,Europe/London,0,1366,768,1821,500,1821,809,0.75,671038fb26ff82aa6081d040,bio-inspired,male,yes_some,GB,level_1,Interesting stuff, I read the instructions,no,,Once again it will last longer than traditional robots thus not leaving as much waste ,It could help with equality as if it was freely available and easy to understand,for starters it can operate via the hose also it has a longer shelf life than traditional robots,6,6,6,6,3,4,5,6,4,5,5,4,5,5,5,5,5,5,5,6,4,5,6,5,5,5,3,6,5,4,4,4,5,4,5,5,4,4,4,5,5,5,5,5,5,5,1,1,1,56,sustainable,56,Male,White,No,Unemployed (and job seeking),35.06666666666667
75,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Europe/London,0,3840,2160,3840,499,3840,1991,1,5be30116dd850e0001d2ba99,bio-inspired,male,yes_some,GB,level_3,,I read the instructions,no,,"Ecologically, if the soft robot walker is reusing materials that would otherwise end up in landfills etc, then it is vastly reducing the amount of waste we would be using. Additionally, in terms of use cases again, if we can find a way to use it to protect and preserve our natural habitats, then that would be a massive step forward. ","The soft robot walker may relate to the social aspect of sustainability by providing use cases that will benefit the population. If these use cases can increase the positive perception of areas such as health and education, then it is demonstrating it's clear benefits in the pursuit of social sustainability. ","As with social sustainability, if the use cases of the soft robot walker can complete everyday, repetitive jobs, this will provide more economic opportunity to individuals and countries. ",5,6,5,5,2,3,6,7,2,7,6,2,7,7,7,3,5,5,6,6,3,4,4,4,3,3,6,6,2,5,5,5,6,2,7,6,1,1,1,5,6,5,5,6,5,5,1,1,1,31,sustainable,31,Male,White,No,Full-Time,26.45
77,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-US,en-GB,Europe/London,0,1280,720,1280,499,1280,632,1.5,559272f4fdf99b7e42e96932,bio-inspired,male,not_sure,GB,bachelors,"A lot of thoguht and writing involved, which I do not mind, but not expecting as much as there was - especially in a specialised subject like this.",I read the instructions,no,,"As there are no electronics involved in soft robots, there will be much less environmental impact through the generation of the robot, and as a result, less waste will be observed as well.","The soft robots will be able to be safely used, and as a result can be used in all kinds of environments, involving more vulnerable individuals, such as the young (in a classroom setting) and old (old folks home). They can be used to aid peope who have reduced mobility as well as act as teching roles. They can also be used in areas that are hazardous, and therefore cut out the dangers that would normally be imposed on a person to do such hazardous tasks.","Due to the materials used and the materials necessary in the running of soft robots, they can be constructed at a much lower cost than traditional robots. They can also be created at home due to them being able to be 3D printed cost effectively. The other economic savings are with repairs and modifications, as they will be of low cost and be reliable at the same time.",6,7,6,6,7,3,7,7,6,6,7,6,7,6,7,7,5,4,5,5,4,5,4,5,3,5,4,5,2,4,4,4,6,5,6,3,3,4,3,6,5,5,6,5,6,5,1,1,1,55,sustainable,55,Male,White,No,Full-Time,38.36666666666667
78,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Europe/London,0,1920,1080,958,499,958,944,1,60aff9a6354c706f21c27da1,bio-inspired,female,no,GB,bachelors,,I read the instructions,no,,"It is more environmentally friendly as it was designed to last, with a focus on sustainability. The fact it can be used on lots of different surfaces and in different environments, means that businesses will not need multiple machines to do the job that this one robot can. The robot isn't reliant on electricity, unlike a lot of machinery.","The creation of this robot is furthering innovation and education, teaching us all more about what can be created and within that, it fosters cohesion between the teams creating this. It is potentially a robot which can be used in situations that are unsafe for humans. It can make a difference to the lives of humans in this way and may be able to assist with bringing peace if used in war zones.","Creating the robot is going to have relied on innovation and for employment of engineers to create it. As it sells, there will be employment of other people within the team to manufacture, test and sell the robot. There is growth in this sector and this robot is equipped to complete a range of tasks, thanks to its soft design, ability to grip and to change its state using the 3D printer element. I think this would be useful in many ways and to lots of different businesses. It promotes efficient resource use as one robot can be transformed into different machines, depending on the use it is needed for.",6,7,7,7,7,5,7,7,3,7,1,7,7,7,7,7,5,5,6,6,6,5,6,6,5,5,5,5,3,1,4,4,6,3,6,5,3,4,2,5,5,5,5,6,5,4,1,1,1,40,bioinspired,40,Female,White,No,Full-Time,60.583333333333336
79,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0,Win32,en-GB,en-GB,Europe/London,0,3440,1440,1677,498,1677,1326,1,676ed6c97f59dba5a786886d,bio-inspired,male,no,GB,masters,"None, it was really interesting!",I read the instructions,no,,"The soft robot uses less resources than conventional robots due to the lack of electronics and use of electronics, meaning less rare earth materials being used. If the plastics and rubber used can be recycled it increases its sustainability credentials. ","It is designed with sustainability in mind, making concious design choices which minimise its footprint and use of of materials. ","It is efficient in its use of materials and offers the opportunity for home production, enabling inidependent or small scale producers to create their own versions. This may lead to further innovation and emplyment potential. ",4,6,6,6,6,3,6,7,6,6,2,5,7,7,6,3,5,6,6,6,6,5,6,5,4,5,3,5,4,2,5,4,4,5,6,5,2,5,1,4,5,5,7,7,1,6,1,1,1,43,sustainable,43,Male,White,No,Full-Time,17.483333333333334
80,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Europe/London,0,1536,864,1534,499,1534,730,1.25,5d7a1fce27fb8a000196993e,tech-inspired,male,no,GB,bachelors,n/a,I read the instructions,yes,Property,"It requires less resources to build, no energy to run and is durable so needs less repairs, reducing resource use that way too. It is also able to transverse habitats without causing damage.","The soft robot can be made much more easily than a traditional robot and is more accessible to individuals. Many parts can be made at home in a 3D printer. They are also cheaper to build, run and repair, making them more affordable.","It does not need traditional power drives - ie electricity etc, so is more sustainable and cheaper to run. It is also more durable so avoids expensive and regular repairs, and the resource use that involves.",6,7,5,7,5,6,6,6,2,6,6,5,6,6,6,5,5,6,6,6,5,6,6,5,6,6,6,6,1,2,4,4,7,3,6,5,2,1,1,6,5,6,5,6,4,4,1,1,1,49,bioinspired,49,Male,White,No,Part-Time,25.35
81,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Europe/London,0,1536,864,1536,499,1536,695,1.25,5718a9c4dd9ef10013df01f0,bio-inspired,female,no,GB,level_4_5,,I read the instructions,no,,By using recyclable materials it will be reducing depletion of natural resources which will also end up being cheaper than using raw materials. ,They could help with the wellbeing of the elderly and health wise by performing dangerous jobs that could endanger lives.,These soft robots would be able to perform jobs that would have previously been very expensive and costly to program.,5,6,5,6,1,3,6,7,4,6,7,5,7,7,6,4,5,6,5,6,6,4,4,5,3,5,7,4,1,1,5,1,7,4,3,1,2,7,1,6,7,2,5,7,7,7,1,1,1,40,bioinspired,40,Female,White,No,Full-Time,35.21666666666667
82,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-US,en-US,Europe/London,0,1536,864,1536,499,1536,703,1.25,58a9acb966e4640001c53a7f,bio-inspired,male,no,GB,bachelors,,I read the instructions,no,,The Soft Robot walker can be made using recycled plastics rather than sourcing additional materials from the natural world.,The Soft Robot walker is safer for use around humans as it is made from less impactful materials than hard robots.,"The Soft Robot Walker is cheaper to produce than traditional hard robots, because its parts can be 3D printed rather than requiring specialist mechanical parts.",2,2,5,3,2,1,5,5,6,5,7,2,5,5,5,2,5,4,5,6,5,3,4,3,3,3,5,7,2,7,5,6,7,2,6,1,2,2,1,5,5,6,6,7,1,4,1,1,1,35,bioinspired,35,Male,White,DATA_EXPIRED,DATA_EXPIRED,29.383333333333333
83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Europe/London,0,1920,1080,1920,499,1920,953,1,62a1e021702679d27813a3e2,tech-inspired,male,no,GB,bachelors,,I read the instructions,no,,Not sure if this can be achieved via the soft robotics and how it significantly differ from conventional  ,"The fact that it can be 3D printed and modular approach are good. However, the use of extensive plastics are not very welcomed. ","Not sure some of the claims are correct, the conventical robots may have soft materials specially on teh places where it contact with outer world. Also the fact that it does not use any electronics and pumped air may not be suaitable for many aspects",3,5,3,4,5,5,6,4,5,5,4,4,5,5,5,5,6,5,5,5,5,4,5,4,5,4,6,6,2,2,5,4,5,5,6,5,2,2,2,5,5,5,5,6,6,5,1,1,1,47,sustainable,47,Male,Asian,DATA_EXPIRED,Full-Time,19.1
84,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-US,en-GB,Europe/London,0,1536,864,1536,499,1536,695,1.25,571b37aa5d40840011c3a04d,bio-inspired,female,not_sure,GB,level_3,,I read the instructions,no,,"It has been built and designed mainly to ensure it uses fewer resources, is easier to maintain and will last longer.","Just like everything today, designers, scientists, and engineers need to be looking closely at sustainability, as this is a key issue that a lot of people pay attention to. Also, they need to keep in mind the labour that is used to get these resources. We already know the poorer countries are being exploited for the market for things like mobile phones etc.","If something uses up too many resources, especially those which have the most negative effect on the planet and society, then it's going to start getting more and more expensive. When something can be made more economically, affordable to run and repai,r then inevitably that will be a big seller compared to another company.",7,7,7,7,4,1,7,7,7,7,7,2,6,7,6,4,4,4,4,4,5,4,4,4,4,4,5,5,2,2,6,4,7,6,5,3,2,2,2,6,5,5,5,6,5,6,1,1,1,61,sustainable,61,Female,White,No,Part-Time,26.216666666666665
85,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",Win32,en-GB,en-GB,Europe/London,0,1366,768,1358,499,1358,602,1,5cedaba627d8ce00018469bb,tech-inspired,female,no,GB,masters,,I read the instructions,no,,"The materials are from recyclable and soft materials, as mentioned above which cause considerably less waste in landfills.","it will not steal resources from places like congo which are typically used in tech and can be fought over, causing wars and tribal conflicts as they battle to possess areas of value  . Instead it will focus more on soft materials which are sustainable.",The robot will provide jobs which hopefully will include fair wages and long term employment opportunities in an area that is growing in the future.,5,6,6,6,2,6,4,6,2,4,5,5,6,6,4,5,5,5,6,5,4,4,5,2,5,3,2,6,6,6,2,4,6,6,6,7,6,6,6,7,7,4,6,4,7,7,1,1,1,43,sustainable,43,Female,White,DATA_EXPIRED,DATA_EXPIRED,22.616666666666667
86,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0,Win32,en-US,en-GB,Europe/London,0,2016,1134,1077,498,1077,999,0.9523809523809523,5c5cad3e4ee81200018eafe2,tech-inspired,female,no,GB,level_2,It was a fascinating study to see the robot innovation and learn about it. The video was very clear and descriptive and easy to understand as it took you through each section logically. Thank you for the opportunity to participate and learn.,I read the instructions,no,,Because it is not made on hard materials or mechanical parts then it would fit seamlessly into many natural habitats enabling work to be done to protect and preserve these habitats. It would not be noisy or disruptive in these situations which is a big advantage of this technology. Also it uses natural materials like air and water to allow it to function so it will help prevent any degradation of the environment with these natural resources.,"It would be able to be used in many environments due to the design. This would enhance the experiences of many people with assistance needs, especially in confined or awkward spaces. It could then make people in society feel more included and consequently less of a burden to society as a whole.",I agree that this innovation will be extremely useful reducing the economic impact of robotics. It is designed so that it uses less resources in the construction due to the cost effective 3D printing of components and less ongoing requirements for high energy consumption. Producing these robots would improve employment opportunities and growth in the countries where it is made.,7,7,7,7,7,7,7,7,2,6,7,6,7,7,7,7,5,5,6,6,6,6,6,6,6,6,7,7,1,6,6,6,5,1,7,1,1,1,1,3,2,6,6,6,2,3,1,1,1,75,sustainable,75,Female,White,No,Full-Time,31.75
87,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-GB,en-US,Europe/London,0,1920,1080,1920,499,1920,945,1,669177c66d14fd83c2a18125,bio-inspired,male,no,GB,doctorate,,I read the instructions,yes,energy,"it is more sustainable, less waster to harm our environment as it is more soft, unlike metal material we used in the past that may be retired and threw away when the appearance get scratches or cracked, so the lifespan should be longer",i don't have too many thoughts on this aspect but i guess soft robots have more potential to be shaped more natural and looking warm comparing to cold metal materials which could potentially enhance people's well-being,"if the bio-robot does make better impact on our environment, more sustainable, then more companies will be willing to opt in, so the investment market could grow prosperous and the growing results could feedback to research and development to carry on exploring future and better robots",6,6,7,6,3,4,4,6,3,6,6,5,7,7,6,3,6,6,6,6,6,6,6,6,6,6,4,6,5,4,3,4,7,6,7,5,4,7,3,7,7,6,5,6,2,3,1,1,1,39,bioinspired,39,Male,Asian,DATA_EXPIRED,DATA_EXPIRED,29.5
